Lenny Kravitz, Again
Robbie Williams, Rock DJ
The Script, Breakeven
Sean Kingston, Fire Burning
Lady Gaga, Poker Face
Sonique, It Feels So Good
Guru Josh Project, Infinity 2008 - Klaas Vocal Edit
The Killers, Mr. Brightside
Florence + The Machine, You've Got The Love
Eminem, Lose Yourself - Soundtrack Version
Asher Roth, I Love College
Blu Cantrell, Breathe - Rap Version
Daniel Bedingfield, Gotta Get Thru This - Radio Edit
Sugababes, Push The Button
Akon, Smack That - Dirty
Gwen Stefani, The Sweet Escape
Jamelia, Superstar
The Underdog Project, Summer Jam - Radio Edit
Nelly, Hot In Herre
U2, Beautiful Day
Metro Station, Shake It
OutKast, Ms. Jackson
Kelly Clarkson, Since U Been Gone
Crazy Town, Butterfly
MGMT, Electric Feel
Maroon 5, This Love
Cassie, Me & U
Madonna, 4 Minutes (feat. Justin Timberlake & Timbaland) - feat. Justin Timberlake And Timbaland
Linkin Park, In The End
P!nk, Just Like a Pill
Eminem, Without Me
Usher, Yeah!
Peter Bjorn and John, Young Folks
Chris Brown, With You
David Guetta, When Love Takes Over (feat. Kelly Rowland) - feat. Kelly Rowland
Kleerup, With Every Heartbeat (feat. Robyn)
Kylie Minogue, Can't Get You Out Of My Head
Daft Punk, One More Time
Mando Diao, Dance With Somebody - Radio Version
Basshunter, Boten Anna - Radio edit
Usher, Burn - Confession Special Edition Version
Craig David, 7 Days
Luniz, I Got 5 On It
Sean Paul, Temperature
JoJo, Too Little, Too Late
Akon, I Wanna Love You
Robbie Williams, Let Me Entertain You - 2004 - Remaster
DMX, Where The Hood At
Dr. Dre, What's The Difference
Eminem, The Real Slim Shady
DMX, X Gon' Give It To Ya
MS MR, Hurricane
Eric Prydz, Pjanoo - Radio Edit
R. Kelly, Ignition - Remix
Train, Drops of Jupiter
Justice, D.A.N.C.E. - Radio Edit
Depeche Mode, Precious
Deichkind, Remmidemmi (Yippie Yippie Yeah)
Mariah Carey, Against All Odds (Take a Look at Me Now)
P!nk, Trouble
Bob Sinclar, Love Generation - feat. Gary Nesta Pine
Fergie, Fergalicious
Coldplay, Lost!
Anastacia, I'm Outta Love
Laith Al-Deen, Dein Lied - Radio Edit
Nelly, Ride Wit Me
DMX, Lord Give Me a Sign
Scooter, One - Always Hardcore
Take That, Patience
The Dandy Warhols, Bohemian Like You
Bodyrockers, I Like The Way - Radio Edit
Darude, Sandstorm
Sonic Palms, On The Beach - Radio Edit
Nelly Furtado, Promiscuous
Rihanna, Umbrella
Hoobastank, The Reason
Britney Spears, Oops!...I Did It Again
Eko Fresh, Gheddo
Robbie Williams, Angels
MIKA, Grace Kelly
Mumford & Sons, Little Lion Man
Madonna, Music
All Saints, Pure Shores
Jamiroquai, You Give Me Something
Goldfrapp, Ooh La La
Aurora, Ordinary World (feat. Naimee Coleman)
The Pussycat Dolls, I HATE THIS PART
R. Kelly, The World's Greatest - Radio Edit
Blue, U Make Me Wanna - Radio Edit
Ciara, Get Up
Vibekingz, Like The Wind - Radio Version
Die Firma, Die Eine 2005
Britney Spears, Lucky
The Rasmus, In The Shadows - Radio Edit
Destiny's Child, Bootylicious
The Pussycat Dolls, Don't Cha
Justin Timberlake, Cry Me a River
Snoop Dogg, Beautiful - Feat. Pharrell, Uncle Charlie Wilson
Ne-Yo, Miss Independent
Jack Holiday, Children - Radio Edit
Bob Sinclar, World, Hold On
3 Doors Down, It's Not My Time
Akon, Right Now (Na Na Na)
Beyoncé, If I Were a Boy
Usher, Love in This Club
Coldplay, Life In Technicolor
Coldplay, Violet Hill
Coldplay, The Scientist
Coldplay, Clocks
Coldplay, Talk
Coldplay, True Love
Basement Jaxx, Where's Your Head At?
Bon Jovi, It's My Life
Just Jack, Starz In Their Eyes
blink-182, I Miss You
2 Chainz, We Own It (Fast & Furious)
Adam Katz, Stars - Cutmore Radio Edit
Adam Lambert, Whataya Want from Me
Alesso, Years - Radio Edit
Alex Clare, Treading Water
Alex Clare, Too Close
Alex Gaudino, I'm In Love
Alex Gaudino, What A Feeling - Radio Edit
Alligatoah, Willst du
Arash, She Makes Me Go (feat. Sean Paul) - Radio Edit
ATB, What About Us - Radio Edit
Avicii, Levels - Radio Edit
Azealia Banks, 212
B.o.B, Airplanes (feat. Hayley Williams of Paramore)
B.o.B, Magic (feat. Rivers Cuomo)
B.o.B, So Good
Baauer, Harlem Shake
Bag Raiders, Sunlight
Bag Raiders, Way Back Home - Original
Ben Pearce, What I Might Do - Radio Edit
Bingo Players, When I Dip - Original Mix
The Black Eyed Peas, Meet Me Halfway
The Black Eyed Peas, The Time (Dirty Bit)
The Black Eyed Peas, Rock That Body
The Black Eyed Peas, I Gotta Feeling
BOY, Little Numbers
Bruno Mars, Treasure
Calvin Harris, Feel So Close - Radio Edit
Calvin Harris, Ready For The Weekend
Calvin Harris, You Used To Hold Me
Calvin Harris, I'm Not Alone - Radio Edit
Calvin Harris, Flashback
Calvin Harris, Sweet Nothing
Capital Cities, Safe And Sound
Carlprit, Party Around the World (feat. CvB) - Michael Mind Project Radio Edit
Carly Rae Jepsen, This Kiss
CAZZETTE, Beam Me Up (Kill Mode) (Radio Edit)
Charice, Pyramid (feat. Iyaz)
Chase & Status, Lost & Not Found
Chiddy Bang, Opposite Of Adults
Chris Brown, Run It!
Chris Malinchak, So Good to Me - Radio Edit
Christopher S & Kwan Hendry feat. SoulCream, We Own the Floor - Radio Mix
CHVRCHES, The Mother We Share
CLAIRE, Games
Claudia, Just a Little Bit - Spencer & Hill Airplay Edit
Coldplay, Warning Sign
Coldplay, Hurts Like Heaven
Coldplay, Paradise
Coldplay, Charlie Brown
Coldplay, Every Teardrop Is a Waterfall
Coldplay, Princess of China
Coldplay, The Hardest Part
Crazy Monkey Gang, Stars - Radio Edit
Da Hool, She Plays Me Like A Melody - Global Deejays Radio Edit
Darius & Finlay, Do It All Night 2K12 - Video Mix
David Guetta, Memories (feat. Kid Cudi) - feat. Kid Cudi
David Guetta, Play Hard - feat. Ne-Yo & Akon
David Guetta, Just One Last Time - feat. Taped Rai
David Guetta, Turn Me On (feat. Nicki Minaj) - feat. Nicki Minaj
David Guetta, Who's That Chick ? (feat. Rihanna) [Single Version]
deadmau5, The Veldt - Radio Edit
Death Cab for Cutie, Meet Me On The Equinox
Diddy - Dirty Money, Coming Home
Disclosure, F For You
Disclosure, Latch
Disclosure, White Noise
The Disco Boys feat. Mimi Perez, Life Is Always New - Single Mix
DJ Antoine, Shake 3x - Radio Edit
DJ Antoine vs. Mad Mark, Broadway - DJ Antoine vs Mad Mark 2k12 Radio Edit
DJ M.E.G., Make Your Move - Radio Mix
Drake, Hold On, We're Going Home
Duke Dumont, Need U (100%) - Radio Edit
Ed Sheeran, Lego House
Edward Maya, Stereo Love - Original
Empire of the Sun, Walking On A Dream
Enrique Iglesias, Heartbeat
Enrique Iglesias, I Like It
Eric Chase, Love Comes Around - Radio Edit
Far East Movement, Like A G6
Feed Me, Love Is All I Got
Fergie, London Bridge
Fergie, Glamorous
Fergie, A Little Party Never Killed Nobody (All We Got)
Fettes Brot, Echo
Flo Rida, Can't Believe It (feat. Pitbull)
Flo Rida, Turn Around [5,4,3,2,1]
Flo Rida, R.O.O.T.S.
Flo Rida, Whistle
Foster The People, Pumped Up Kicks
Frauenarzt, Disco Pogo - Atzen Musik Mix
Gentleman, You Remember
Grits, Ooh Ahh (My Life Be Like) (feat. Toby Mac)
Hoodie Allen, No Faith in Brooklyn (feat. Jhameel)
The Hoosiers, Choices
Hurts, Somebody to Die For
Hurts, Wonderful Life
Hurts, Stay
Jack Holiday & Mike Candys, The Riddle Anthem - Radio Mix
Jack Holiday feat. Jasmin Paan & Big Reggie, Back in Miami - Mike Candys Original Radio Mix
Jason Derulo, Breathing
Jay Sean, So High
John De Sohn, Dance Our Tears Away - Radio Edit
Jordin Sparks, No Air
Jupiter Jones, Rennen + Stolpern
Katy Perry, Firework
KC Rebell, Bitte Spitte 5000 Reloaded
Keane, Is It Any Wonder? - Tall Paul Edit
Kendrick Lamar, Swimming Pools (Drank)
Kid Cudi, Day 'N' Nite
Kid Ink, Money and the Power
Klangkarussell, Sonnentanz - Original Mix
Klingande, Jubel - Radio Edit
Kylie Minogue, Get Outta My Way
La La Land, Not All About the Money (feat. Timbaland & Grooya) - DJ Antoine vs. Mad Mark 2K12 Radio Edit
Labrinth, Last Time
Labrinth, Beneath Your Beautiful
Lady Gaga, LoveGame
Lasgo, Here With Me - Radio Edit
Laurent Wery, Hey Hey Hey (Pop Another Bottle) (feat. Swift K.I.D. & Dev) - Bodybangers Club Edit
Laurent Wolf feat. Eric Carter, No Stress
Leony!, Last Night a D.J. Saved My Life - Radio Mix
Lil Wayne, Right Above It
Lil Wayne, Love Me
Lloyd Banks, Beamer, Benz or Bentley
LMFAO, Party Rock Anthem
LMFAO, Sexy And I Know It
LMFAO, One Day
The Lonely Island, I Just Had Sex
Lupe Fiasco, Old School Love (feat. Ed Sheeran)
M83, Midnight City
M83, Reunion
Macklemore & Ryan Lewis, Can't Hold Us - feat. Ray Dalton
Macklemore & Ryan Lewis, Thrift Shop (feat. Wanz)
Macklemore & Ryan Lewis, White Walls (feat. ScHoolboy Q & Hollis)
Madeon, The City
Magnetic Man, I Need Air
Manian, Loco - Video Edit
Manian feat. Carlprit, Don't Stop the Dancing - Video Edit
Marteria, OMG!
Mat Zo, Easy - Radio Edit
Parachute Youth, Can’t Get Better than this (Radio edit)
Michael Mind Project, Antiheroes - Radio Edit
Michael Mind Project, Nothing Lasts Forever - Radio Edit
Mike Candys, 2012 (If the World Would End) - Radio Mix
Mike Posner, Cooler Than Me - Single Mix
Mischa Daniels, Where You Wanna Go - Radio Edit
Mohombi, Dirty Situation
Mr. President, Coco Jamboo - Radio Version
Muse, Starlight
MYNC, No Place Like Home - Radio Edit
The Naked And Famous, Punching In A Dream
Nelly, Just A Dream - Main
Nickelback, This Afternoon
Nicki Minaj, Va Va Voom
Nicki Minaj, Super Bass
Nora En Pure, Come With Me - Radio Mix
OneRepublic, If I Lose Myself - Alesso vs OneRepublic
OneRepublic, All The Right Moves
Otto Knows, Million Voices
Owl City, Alligator Sky
Paramore, The Only Exception
Patrick Miller, Dancing in London - David May Radio Mix
Pendulum, Watercolour
Phoenix, Lisztomania
Phoenix, 1901
Pitbull, Back in Time - featured in "Men In Black 3"
Pitbull, International Love
PSY, Gangnam Style (강남스타일)
Remady, Single Ladies (feat. J-Son)
Rihanna, Diamonds
Rihanna, Only Girl (In The World)
Rihanna, Stay
Rob & Chris, Mond (feat. Sandberg) - Video Edit
Rob & Chris, Superheld - House of House Edit
Robyn, Dancing On My Own
Scooter, 4 AM - Radio Version
Scooter, The Sound Above My Hair - Remastered
Scouting For Girls, This Ain't a Love Song
Sean Paul, Like Glue
Snow Patrol, Chasing Cars
Swedish House Mafia, Don't You Worry Child (Radio Edit) [feat. John Martin]
Swedish House Mafia, One - Radio Edit
Tacabro, Tacata
The Temper Trap, Fader
Timati & J-Son, Match Me - DJ Antoine vs Mad Mark Re-Construction
Timbaland, Carry Out (Featuring Justin Timberlake)
Tinie Tempah, Frisky - feat. Labrinth;Radio Edit
Tinie Tempah, Written In The Stars - feat. Eric Turner;Non-UK Clean Radio Version
Tokio Hotel, Automatic
Two Door Cinema Club, Sun
Tyga, Faded
Tyga, Rack City
Uncle Kracker, Smile
The Wanted, Chasing The Sun
Waterfall feat. Akon & Play N' Skillz, Angel Eyes - Short Mix
will.i.am, #thatPOWER
will.i.am, Hello
will.i.am, Scream & Shout
will.i.am, Feelin' Myself
will.i.am, Bang Bang
will.i.am, Check It Out
will.i.am, T.H.E (The Hardest Ever)
will.i.am, This Is Love
Wiz Khalifa, Black And Yellow
Wiz Khalifa, Roll Up
The Wombats, Tokyo - Vampires & Wolves
Woodkid, Run Boy Run
Ying Yang Twins, Get Low
Hurts, Better Than Love
Wiz Khalifa, Work Hard, Play Hard
Wiz Khalifa, The Plan - feat. Juicy J
Tarkan, Simarik
Icona Pop, Girlfriend
Alanis Morissette, Ironic
Blur, Song 2
Casper, So perfekt - Single Version
Die Fantastischen Vier, Sie ist weg
Die Fantastischen Vier, MfG
Faithless, Insomnia
Lena, Satellite
Peter Fox, Alles neu
Peter Fox, Haus am See
Seeed, Ding
The Script, The Man Who Can't Be Moved
Leona Lewis, Bleeding Love
Lady Gaga, Just Dance
Flo Rida, Low (feat T-Pain) - Feat T-Pain Album Version
Gorillaz, Clint Eastwood
Sean Paul (Featuring Keyshia Cole), (When You Gonna) Give It Up To Me - Radio Version
Justin Timberlake, My Love - Single Version
Eminem, When I'm Gone
Nickelback, Rockstar
Movie Sounds Unlimited, Mad World - From Donnie Darko
The Black Eyed Peas, Hey Mama
Sylver, Turn The Tide - Radio Edit
Juli, Perfekte Welle - Radio Version
Anastacia, Left Outside Alone
Nelly Furtado, Turn Off The Light
Nelly Furtado, I'm Like A Bird
Robbie Williams, Supreme
Lorde, Tennis Court
Yeah Yeah Yeahs, Heads Will Roll - A-Trak Radio Edit
Marteria, Sekundenschlaf
The Chainsmokers, #SELFIE
Coldplay, A Sky Full of Stars
Nico & Vinz, Am I Wrong
Maroon 5, Animals
John Martin, Anywhere For You - Tiësto VS. Dzeko & Torres Remix
Mark Forster, Au Revoir
Andreas Bourani, Auf anderen Wegen - Radio Version
Andreas Bourani, Auf uns
Fritz Kalkbrenner, Back Home - Radio Edit
David Guetta, Bad (feat. Vassy) - Radio Edit
Cro, Bad Chick
Ellie Goulding, Beating Heart
Lil Wayne, Believe Me
Calvin Harris, Blame
Charli XCX, Boom Clap
Watermät, Bullit (So Real)
Waze & Odyssey, Bump & Grind 2014 - Radio Edit
Axwell, Center of the Universe - Original Radio Edit
Sia, Chandelier
Sigma, Changing
Vicetone, Chasing Time - Radio Edit
Modana & Carlprit, Club Go Mad - Video Edit
Saint Motel, Cold Cold Man
OneRepublic, Counting Stars
Cheryl, Crazy Stupid Love - Club Mix
David Guetta, Dangerous (feat. Sam Martin)
Avicii, The Days
Ed Sheeran, Don't
Ed Sheeran, Don't - Don Diablo Remix
Kollegah, Du bist Boss
The Avener & Phoebe Killdeer, Fade Out Lines - The Avener Rework
Iggy Azalea, Fancy
Marteria, Feuer
Oliver Heldens, Gecko (Overdrive) - Radio Edit
Beatsteaks, Gentleman Of The Year
Darius & Finlay, Get Up - Video Mix
Ella Henderson, Ghost
Martin Garrix, Gold Skies - Radio Edit
Gorgon City, Here For You
Alesso, Heroes (we could be)
Kiesza, Hideaway
Duke Dumont, I Got U
Secondcity, I Wanna Feel
Rita Ora, I Will Never Let You Down
Flo Rida, In My Mind Part 2 - feat. Georgi Kay
Nico & Vinz, In Your Arms
will.i.am, It’s My Birthday
Capital Cities, Kangaroo Court
Avicii, Lay Me Down - Avicii By Avicii
Eric Prydz, Liberate
David Guetta, Lovers on the Sun (feat. Sam Martin)
Coldplay, Magic
Maroon 5, Maps
Austin Mahone, Mmm Yeah
Route 94, My Love
Sander van Doorn, Neon - Original Radio Edit
Klangkarussell, Netzwerk (Falls Like Rain)
The Script, No Good in Goodbye
Sigma, Nobody To Love - Radio Edit
Justin Timberlake, Not a Bad Thing
Bastille, Of The Night
Bakermat, One Day (Vandaag) - Radio Edit
Example, One More Day (Stay with Me)
Calvin Harris, Outside
Cash Cash, Overtime - Vicetone Remix Edit
Otto Knows, Parachute - Radio Edit
James Blunt, Postcards
Lilly Wood and The Prick, Prayer in C - Robin Schulz Radio Edit
LuvBug, Resonance
Jess Glynne, Right Here
CAZZETTE, Sleepless - Radio Edit
Ben Haenow, Something I Need
Calvin Harris, Summer
Robin Schulz, Sun Goes Down (feat. Jasmine Thompson) - Radio Mix
The Magician, Sunlight (feat. Years and Years) - Radio Edit
The Script, Superheroes
Cash Cash, Surrender
Klangkarussell, Symmetry
Hozier, Take Me To Church
Take That, These Days
Katy Perry, This Is How We Do
Ola, Tonight I'm Yours
Shift K3Y, Touch
Cro, Traum
Sub Focus, Turn Back Time - Radio Edit
DJ Snake, Turn Down for What
Dash Berlin, Underneath The Sky
Kwabs, Walk
Tiësto, Wasted
Mr. Probz, Waves - Robin Schulz Radio Edit
Daniel Bovie, Way Too Long - Radio Mix
Pitbull, We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song]
Nickelback, What Are You Waiting For?
Juun, When It's Alright - Radio Edit
Marlon Roudette, When The Beat Drops Out
Martin Tungevaag, Wicked Wonderland
Jason Derulo, Wiggle (feat. Snoop Dogg)
Digitalism, Wolves
Duke Dumont, Won't Look Back
Vice, The World Is Our Playground (Edit) [feat. Mike Taylor]
Kwabs, Wrong Or Right
Galantis, You - Tiësto vs. Twoloud Radio Edit
Foxes, Youth
Kaiser Chiefs, Ruby
Love Inc., You're a Superstar - Radio Edit
Owl City, Umbrella Beach
Owl City, Fireflies
Owl City, Good Time
Planet Funk, Lemonade
Rudimental, Waiting All Night (feat. Ella Eyre) - feat. Ella Eyre
Rudimental, Feel The Love (feat. John Newman) - feat. John Newman
Rudimental, Free (feat. Emeli Sandé) - feat. Emeli Sandé
Labrinth, Let the Sun Shine
Kamaliya, I'm Alive - Radio Edit
Madcon, Beggin'
Andain, Promises (Myon & Shane 54 Summer Of Love Radio Edit)
Dashboard Confessional, Stolen
Dannii Minogue, I Begin to Wonder
Green Day, Boulevard Of Broken Dreams
Milky, Just The Way You Are
Milky, Be My World
Eric Prydz vs. Floyd, Proper Education - Radio Edit
Axwell, (Can You) Feel The Vibe - Radio Edit
Calvin Harris, Acceptable in the 80s
Riva, Who Do You Love Now? (feat. Dannii Minogue) [Stringer] - Radio Version
M'Black, Heartbreak (Radio Edit)
Alice Deejay, Better Off Alone - Hitradio Mix
Dance Nation, Louder - Tribute to DJ Fresh Ft Sian Evans (Cover Version)
deadmau5, I Remember - Radio Edit
Michael Gray, The Weekend (Radio Edit)
Daft Punk, Around The World - Radio Edit
Booty Luv, Boogie 2Nite - Seamus Haji Big Love Remix
Junior Jack, Stupidisco (Radio Edit)
Roger Sanchez, Another Chance
Spiller, Groovejet - If This Ain't Love (Radio Edit)
The Disco Boys, For You (Original Radio Edit)
Planet Funk, Chase the Sun
Tim Berg, Bromance (Avicii's Radio Edit) - Avicii's Radio Edit
Havana Brown, We Run The Night
Tiësto, In The Dark - Radio Edit
Bailey, Higher State - Radio Mix
INNA, Amazing - Radio Edit
Yolanda Be Cool, We No Speak Americano - Radio Edit
Motorcycle, As the Rush Comes - Radio Edit
Narcotic Thrust, When The Dawn Breaks (Radio Mix)
Kaskade, Move For Me
Culture Beat, Your Love - Radio Edit
Dizzee Rascal, Bonkers - Mix Edit
CAZZETTE, Weapon (Radio Edit)
Martin Solveig, The Night Out - A-Trak vs. Martin Rework
Robin S, Show Me Love - Extended Mix
Kings Of Tomorrow, Finally - Original Version
Hi_Tack, Say Say Say (waiting 4 u) - Radio Mix
Deep Dish, Dreams (feat. Stevie Nicks)
Chicane, Don't Give Up
Boogie Pimps, Somebody To Love (Salt Shaker Remix) - Radio Edit
Dave Armstrong, Love Has Gone - Full Vocal Radio Edit
Dave Armstrong, Make Your Move (Dare Me)
Neja, Back 4 the Morning
The Phantom's Revenge, Charlie
iio, Rapture (feat.Nadia Ali)
Sak Noel, Loca People (What the F**k!") - Radio Edit
Sunfreakz, Counting Down The Days (Original Vocal Radio Edit)
Carlprit, Remember to Forget - Michael Mind Project Radio Edit
Simply Red, Sunrise (Love To Infinity Radio Mix)
Shakedown, At Night - Original Edit
Joey Negro, Make a Move On Me - Original Radio Edit
INNA, Hot - Play & Win Radio Version
Chris Malinchak, Stranger
Supermode, Tell Me Why - Vocal Club Mix
Ida Corr, Let Me Think About It - Radio Edit
Kanye West, Homecoming
Sasha, Good Days
The Wanted, Glad You Came
Taio Cruz, Break Your Heart
Seal, My Vision (feat. Jakatta) - Jakatta Mix Radio Edit
Robert DeLong, Long Way Down
Darius & Finlay, Rock to the Beat - Video Mix
Drake, Best I Ever Had
Flipsyde, Happy Birthday
Bob Sinclar, I Want You - Radio Edit
Lasgo, Sky High - Radio Edit
John Newman, Love Me Again
DJ Sammy, Sunlight
Theophilus London, Wine & Chocolates - andhim Remix Radio Version
Ellie Goulding, Starry Eyed
Linkin Park, Shadow Of The Day
Lady Gaga, Bad Romance
Rihanna, Russian Roulette
Kesha, TiK ToK
Cheryl, 3 Words
Example, Won't Go Quietly - Radio Edit
Alicia Keys, Empire State of Mind (Part II) Broken Down
Timbaland, If We Ever Meet Again (Featuring Katy Perry) - feat. ケイティ・ペリー
Rihanna, Rude Boy
Lady Gaga, Telephone
Usher, OMG
Kelis, Acapella
Jason Derulo, Ridin' Solo
Aggro Santos, Candy - Radio Edit
Alexandra Burke, All Night Long - Single Version
Dizzee Rascal, Dirtee Disco
Eminem, Not Afraid
David Guetta, Gettin' Over You (feat. Fergie & LMFAO)
Example, Kickstarts - Radio Edit
Kylie Minogue, All The Lovers
Lady Gaga, Alejandro
Katy Perry, California Gurls - feat. Snoop Dogg
Eminem, Love The Way You Lie
Kelly Rowland, Commander
3OH!3, My First Kiss - feat. Ke$ha
The Wanted, All Time Low
Travie McCoy, Billionaire (feat. Bruno Mars)
Flo Rida, Club Can't Handle Me (feat. David Guetta) - Feat. David Guetta
Ne-Yo, Beautiful Monster
Roll Deep, Green Light
Taio Cruz, Dynamite
Katy B, Katy on a Mission
Brandon Flowers, Crossfire
Olly Murs, Please Don't Let Me Go
Katy Perry, Teenage Dream
Alexandra Burke, Start Without You
The Script, For the First Time
Usher, DJ Got Us Fallin' In Love
Alex Gaudino, I'm In Love (I Wanna Do It) - Vocal Edit
CeeLo Green, Forget You
Swedish House Mafia, Miami 2 Ibiza
Kings of Leon, Radioactive
The Wanted, Heart Vacancy
Katy Perry, Firework
Alexis Jordan, Happiness
Take That, The Flood
Matt Cardle, When We Collide
Conor Maynard, Can't Say No
Katy Perry, Roar
Lady Gaga, Applause
Kings of Leon, Pyro
Haggstrom, Be My Baby - Diamond Cut Radio Edit
Locnville, Sun in My Pocket
Beyoncé, Love On Top
Sugababes, Hole In The Head
Madonna, Sorry - Single Edit
Kylie Minogue, Spinning Around
Melanie C, I Turn To You
PH Electro, Englishman in New York - Radio Edit
T.I., Dead And Gone - feat. Justin Timberlake
Beyoncé, Beautiful Liar - Main Version / Album Version
Flo Rida, In The Ayer (feat. will.I.am) - feat. will.I.am Album Version
Patrick Hagenaar, We Feel The Same (DJ Antoine vs Mad Mark Remix)
Eric Turner, Dancing In My Head (Tom Hangs Remix) [Eric Turner vs. Avicii]
Dr. Dre, The Next Episode
Adam Lambert, Ghost Town
Adele, Hello
Alex Adair, Make Me Feel Better - Radio Edit
A-Trak, We All Fall Down (feat. Jamie Lidell)
Avicii, Broken Arrows
Calvin Harris, How Deep Is Your Love
Carly Rae Jepsen, I Really Like You
Carly Rae Jepsen, Run Away With Me
Coldplay, Adventure Of A Lifetime
Coldplay, Fun (feat. Tove Lo)
David Guetta, Bang My Head (feat. Sia & Fetty Wap)
Ellie Goulding, Codes
Ellie Goulding, Love Me Like You Do - From "Fifty Shades Of Grey"
Ellie Goulding, On My Mind
Felix Jaehn, Book Of Love
Felix Jaehn, Ain't Nobody (Loves Me Better)
Galantis, Runaway (U & I)
Justin Bieber, Sorry
Justin Bieber, What Do You Mean?
Kygo, Firestone
Kygo, Stole the Show
Lost Frequencies, Are You with Me - Radio Edit
M-22, Good To Be Loved - Radio Edit
Macklemore & Ryan Lewis, Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)
Madonna, Living For Love
Major Lazer, Lean On (feat. MØ & DJ Snake)
Major Lazer, Light It Up (feat. Nyla & Fuse ODG) - Remix
Mark Ronson, Uptown Funk
Maroon 5, This Summer
Marlon Roudette, Everybody Feeling Something
Maroon 5, Sugar
Martin Garrix, Don't Look Down
Martin Solveig, Intoxicated - Original Mix
Martin Solveig, +1 - Radio Edit
Motrip, So wie du bist
OMI, Cheerleader (Felix Jaehn Remix) - Radio Edit
OMI, Hula Hoop
P!nk, Today's The Day
Pharrell Williams, Freedom
Rudimental, Lay It All On Me (feat. Ed Sheeran)
Robin Schulz, Sugar (feat. Francesco Yates)
Rihanna, FourFiveSeconds
Rihanna, American Oxygen
Rihanna, Bitch Better Have My Money
Redlight, Threshold
Sam Smith, Like I Can
Selena Gomez, Me & The Rhythm
Sigala, Easy Love
Sigala, Sweet Lovin' - Original Mix
Snakehips, All My Friends
Wiz Khalifa, See You Again (feat. Charlie Puth)
The Weeknd, Can't Feel My Face
XYconstant, Silverlined
Years & Years, King
Bon Jovi, Thank You For Loving Me
Britney Spears, Stronger
Faith Hill, There You'll Be - Remastered
Fuel, Bad Day
Janet Jackson, All For You
Lifehouse, Hanging By A Moment
Nelly Furtado, Turn Off The Light
Destiny's Child, Say My Name
Destiny's Child, Independent Women, Pt. 1
Enrique Iglesias, Be With You
Above & Beyond, Sun & Moon - Radio Edit
Above & Beyond, Counting Down The Days
Dua Lipa, Be The One
Calvin Harris, Thinking About You
Santigold, Disparate Youth
Miike Snow, Black & Blue
Coldplay, A Message
CLAIRE, The Next Ones To Come
John De Sohn, Under the Sun (Where We Belong) - Radio Edit
Benny Benassi, Cinema - Radio Edit
Chris Brown, Beautiful People - Radio Edit
Chip Munk, Champion
Tiësto, C'mon (feat. Diplo)
Kanye West, Runaway
Dash Berlin, Better Half Of Me - Radio Edit
Snow Patrol, Shut Your Eyes
Eminem, The Monster
Beyoncé, Sweet Dreams
Kanye West, Love Lockdown
Shinedown, Second Chance
