Plain White T's, Hey There Delilah
Sir Mix-A-Lot, Baby Got Back
Rihanna, Rude Boy
Katy Perry, California Gurls - feat. Snoop Dogg
Snoop Dogg, Drop It Like It's Hot
Gwen Stefani, The Sweet Escape
Katy Perry, I Kissed a Girl
OutKast, Hey Ya! - Radio Mix / Club Mix
Lady Gaga, Poker Face
Lady Gaga, Telephone
Lady Gaga, Alejandro
Lady Gaga, LoveGame
Lady Gaga, Paparazzi
Eminem, Lose Yourself - Soundtrack Version
Eminem, Rap God
Eminem, Not Afraid
Eminem, Shake That
Eminem, The Real Slim Shady
Aly & AJ, Potential Breakup Song
Aly & AJ, Like Whoa
Aly & AJ, Chemicals React Remix
Ed Sheeran, The A Team
Justin Bieber, Baby
Imagine Dragons, Demons
Justin Timberlake, My Love
Imagine Dragons, Radioactive
Justin Bieber, Runaway Love
Justin Bieber, Stuck In The Moment
Justin Timberlake, Summer Love
Justin Bieber, That Should Be Me
Miley Cyrus, We Can't Stop
Christina Perri, A Thousand Years
Flo Rida, Low (feat T-Pain)
Vanessa Carlton, A Thousand Miles
V.I.C., Get Silly
Glee Cast, Don't Stop Believin' (Glee Cast Version)
Kenny And The Scots, I Would Walk 500 Miles
Destiny's Child, Survivor
B.o.B, Nothin' On You (feat. Bruno Mars)
Survivor, Eye of the Tiger
Jason Derulo, Whatcha Say
Miley Cyrus, Party In The U.S.A.
The Pussycat Dolls, Don't Cha
Vanessa Hudgens, Say Ok
Fergie, Glamorous
Kelly Clarkson, Since U Been Gone
Kelly Clarkson, Breakaway
Fergie, Clumsy
M.I.A., Paper Planes
Colbie Caillat, Bubbly
Far East Movement, Like A G6
Usher, OMG
Ricky Martin, Livin' La Vida Loca
Christina Aguilera, What a Girl Wants
Bon Jovi, Livin' On A Prayer
Selena Gomez & The Scene, Who Says
Selena Gomez & The Scene, Tell Me Something I Don't Know
Selena Gomez, Slow Down
Selena Gomez & The Scene, Love You Like A Love Song
Howie Day, Collide
Hilary Duff, Come Clean
Willow, Whip My Hair
Lady Gaga, Just Dance
Gavin DeGraw, Not Over You
Justin Bieber, Never Say Never
Sean Kingston, Dumb Love
Nelly, Ride Wit Me - Album Version/Edited
Destiny's Child, Say My Name
Pretty Ricky, Grind With Me
Jordin Sparks, No Air
Jordin Sparks, One Step At a Time
Jordin Sparks, Battlefield
Jordin Sparks, Tattoo
The Jackson 5, ABC
P!nk, Get The Party Started
Flo Rida, Right Round - US
The Black Eyed Peas, Just Can’t Get Enough
DJ Khaled, All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross
The Cheetah Girls, Strut - From "The Cheetah Girls 2"
Foster The People, Pumped Up Kicks
Destiny's Child, Bootylicious
Chris Brown, With You
Chris Brown, Yeah 3x
The Jackson 5, I Want You Back
Aaron Carter, I Want Candy
Hoku, Perfect Day
Taio Cruz, Dynamite
Kim Wilde, Kids In America
The Go-Go's, We Got The Beat - Single Mix
Ed Sheeran, Lego House
Gotye, Somebody That I Used To Know
Kelly Clarkson, Because of You
Daughtry, It's Not Over
Chris Brown, Forever
Ne-Yo, Let Me Love You (Until You Learn To Love Yourself)
Train, Drops of Jupiter
Natasha Bedingfield, These Words
Miley Cyrus, 7 Things
Kelly Clarkson, My Life Would Suck Without You
Beyoncé, If I Were a Boy
Taylor Swift, Crazier
Christopher Wilde, Hero
Nickelback, Photograph
Jason Mraz, I Won’t Give Up
Atomic Kitten, The Tide Is High (Get The Feeling) [Radio Mix]
One Direction, Last First Kiss
One Direction, Rock Me
Demi Lovato, La La Land
Chris Brown, Next To You
Far East Movement, Live My Life
Jonas Brothers, Play My Music
Miley Cyrus, When I Look At You
Ne-Yo, Closer
Ne-Yo, Miss Independent
Shaggy, Angel
Chris Brown, Run It!
Kanye West, Mercy
Adele, Someone Like You
Adele, Set Fire to the Rain
Adele, Rumour Has It
Adele, Rolling in the Deep
Warrant, Cherry Pie
Fergie, Big Girls Don't Cry (Personal)
Jonas Brothers, S.O.S.
Adam Hicks, Determinate - From "Lemonade Mouth"
Miley Cyrus, See You Again
Selena Gomez, Everything Is Not As It Seems - Series Theme Song
Christopher Wilde, Starstruck
Victorious Cast, Make It Shine (Victorious Theme)
Naomi Scott, She's So Gone
Jordan Francis, Hasta La Vista
Bridgit Mendler, Somebody
Anna Margaret, Something About the Sunshine
Christopher Wilde, Shades
Adam Hicks, Breakthrough
Sam Hunt, Ex To See
Usher, U Got It Bad
Katy Perry, Last Friday Night (T.G.I.F.)
The Fray, You Found Me
Snoop Dogg, Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars
Beyoncé, 7/11
Miley Cyrus, Wrecking Ball
Jason Derulo, Wiggle (feat. Snoop Dogg)
Jason Derulo, Talk Dirty (feat. 2 Chainz)
Macklemore & Ryan Lewis, White Walls (feat. ScHoolboy Q, Hollis)
Katy Perry, Waking Up In Vegas
The Neighbourhood, Sweater Weather
Justin Timberlake, Suit & Tie
Justin Timberlake, Mirrors
Rihanna, Stay
Sam Smith, Stay With Me
Sam Smith, I'm Not The Only One
Vance Joy, Riptide
Clean Bandit, Rather Be (feat. Jess Glynne)
LMFAO, Party Rock Anthem
LMFAO, Sorry For Party Rocking
LMFAO, Sexy And I Know It
LMFAO, Shots
Lil Mama, Lip Gloss
JAY Z, Holy Grail
The Fray, How to Save a Life
T-Pain, Booty Wurk (One Cheek At a Time)
John Legend, All of Me
Robin Thicke, Blurred Lines
Sean Kingston, Fire Burning
Travie McCoy, Billionaire (feat. Bruno Mars)
Waka Flocka Flame, No Hands (feat. Roscoe Dash and Wale)
Nelly, Just A Dream - Main
B.o.B, Magic (feat. Rivers Cuomo)
Jessie J, Price Tag
ABBA, Dancing Queen
P!nk, Blow Me (One Last Kiss)
Joe Jonas, Gotta Find You
Ciara, One, Two Step
Blondie, One Way Or Another - 2001 - Remaster
Alicia Keys, No One
The Script, Hall of Fame
Rihanna, S&M
Usher, Scream
Beyoncé, Crazy In Love
Paramore, The Only Exception
Lady Antebellum, Need You Now
Flo Rida, GDFR (feat. Sage The Gemini & Lookas)
Naughty Boy, La La La
PSY, Gangnam Style (강남스타일)
Christina Perri, Jar of Hearts
Florida Georgia Line, Cruise - Remix
Cupid, Cupid Shuffle
Hozier, Take Me To Church
Sara Bareilles, Love Song
The Goo Goo Dolls, Iris
Pitbull, Time of Our Lives
The Black Eyed Peas, The Time (Dirty Bit)
Wheatus, Teenage Dirtbag
Kelis, Milkshake
The Black Eyed Peas, Boom Boom Pow
JAY Z, Empire State Of Mind
The Black Eyed Peas, Imma Be
The Black Eyed Peas, Pump It
David Guetta, Sexy Bitch (feat. Akon) - feat. Akon
David Guetta, Turn Me On (feat. Nicki Minaj) - feat. Nicki Minaj
Rihanna, Only Girl (In The World)
Akon, Smack That - Dirty
Samantha Ronson, Built This Way - (Slow Remix)
The Script, Breakeven
Rihanna, What's My Name?
Katy Perry, Dark Horse
Halsey, New Americana
Demi Lovato, Heart Attack
Justin Bieber, Boyfriend
Justin Timberlake, TKO
Lorde, Royals
Maejor Ali, Lolly
One Direction, What Makes You Beautiful
Pitbull, Timber
Maroon 5, Animals
Shawn Mendes, Life Of The Party
Shawn Mendes, Stitches
Taylor Swift, I Knew You Were Trouble.
Taylor Swift, We Are Never Ever Getting Back Together
Taylor Swift, Mean
Taylor Swift, Teardrops On My Guitar - Radio Single Remix
Taylor Swift, Our Song
Taylor Swift, Teardrops on My Guitar - Pop Version
Taylor Swift, Love Story
Taylor Swift, You Belong With Me
Taylor Swift, Mine - US Version
Sean Kingston, Beat It
50 Cent, In Da Club
Alessia Cara, Here
Alesso, Heroes (we could be)
Allstar Weekend, Not Your Birthday - Movie Version
Andy Grammer, Honey, I'm Good.
Ariana Grande, Problem
Ariana Grande, Break Free
Ariana Grande, The Way
Ariana Grande, Love Me Harder
Avril Lavigne, What the Hell
Austin Mahone, Mmm Yeah (feat. Pitbull)
Becky G, Shower
B.o.B, Both Of Us (feat. Taylor Swift) - feat. Taylor Swift
Cher Lloyd, Want U Back
David Guetta, Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)
Demi Lovato, Really Don't Care
DJ Snake, Turn Down for What
DJ Snake, You Know You Like It
Drake, Hotline Bling
Ed Sheeran, Sing
Ed Sheeran, Thinking Out Loud
Enrique Iglesias, Bailando - English Version
Fall Out Boy, Alone Together
Fall Out Boy, Centuries
A Great Big World, Say Something
Gym Class Heroes, Stereo Hearts (feat. Adam Levine) - feat. Adam Levine
Iggy Azalea, Fancy
Iggy Azalea, Work
Iggy Azalea, Black Widow
Jessie J, Bang Bang
Justin Timberlake, Not a Bad Thing
Katy Perry, Wide Awake
Macklemore & Ryan Lewis, Thrift Shop (feat. Wanz)
Nicki Minaj, Anaconda
Nick Jonas, Chains
Nick Jonas, Jealous
Nicki Minaj, Beez In The Trap
Nicki Minaj, The Night Is Still Young
One Direction, Best Song Ever
One Direction, Story of My Life
One Direction, Little Things
One Direction, One Thing
Passenger, Let Her Go
Sam Hunt, Take Your Time
Selena Gomez, Birthday
Selena Gomez, Like A Champion
Selena Gomez, Come & Get It
Selena Gomez, Good For You
Selena Gomez, Slow Down
Shakira, Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song)
Shawn Mendes, The Weight
Shawn Mendes, One Of Those Nights
Sheppard, Geronimo
Sia, Elastic Heart
Tove Lo, Habits (Stay High) - Hippie Sabotage Remix
Trey Songz, Na Na
Jeremih, Don't Tell 'Em
Wiz Khalifa, See You Again (feat. Charlie Puth)
The Weeknd, Often
The Weeknd, Earned It (Fifty Shades Of Grey) - From The "Fifty Shades Of Grey" Soundtrack
5 Seconds of Summer, Amnesia
5 Seconds of Summer, Good Girls
5 Seconds of Summer, She Looks So Perfect
MKTO, Classic
Pharrell Williams, Happy
Charli XCX, Boom Clap
AJR, I'm Ready
X Ambassadors, Renegades
Matchbox Twenty, How Far We've Come
James Arthur, Impossible
Backstreet Boys, I Want It That Way
Lukas Graham, 7 Years
Enrique Iglesias, I Like It
Rihanna, SOS
Shontelle, Impossible - Main
Iyaz, Replay
Katy Perry, Hot N Cold
Taio Cruz, Break Your Heart
Selena Gomez & The Scene, Naturally
The Pussycat Dolls, When I Grow Up
Justin Bieber, One Time
Katy Perry, Teenage Dream
Miley Cyrus, Hoedown Throwdown
Kesha, We R Who We R
Miley Cyrus, The Climb
Selena Gomez & The Scene, Round & Round
Justin Bieber, Love Me
3OH!3, My First Kiss - feat. Ke$ha
Beyoncé, Partition
Miranda Cosgrove, Kissin U
Miranda Cosgrove, About You Now
Miranda Cosgrove, Dancing Crazy
Selena Gomez, New Classic (Live Version)
Rixton, Me And My Broken Heart
David Guetta, Without You (feat. Usher) - feat. Usher
Eminem, Love The Way You Lie
Miley Cyrus, Party In The U.S.A.
Michael Jackson, Man in the Mirror - 2012 Remaster
Big Sean, Deep
Drake, The Motto
Lil Wayne, A Milli
Drake, Best I Ever Had
Vanilla Ice, Ice Ice Baby
Lil Wayne, 6 Foot 7 Foot
Ester Dean, Drop It Low
50 Cent, Candy Shop
Kanye West, Stronger
Unk, Walk It Out
B.o.B, HeadBand (feat. 2 Chainz)
Nicki Minaj, Fly
Nicki Minaj, High School
Nicki Minaj, I Endorse These Strippers
Nicki Minaj, Va Va Voom
