Jack Johnson, Better Together
Ellie Goulding, How Long Will I Love You - Bonus Track
Kodaline, The One
The Walters, I Love You So
Sleeping At Last, Every Little Thing She Does Is Magic
Ed Sheeran, Cold Coffee
Ed Sheeran, How Would You Feel (Paean)
Haley Reinhart, Can't Help Falling in Love
LANY, ILYSB - STRIPPED
Cigarettes After Sex, Keep On Loving You
Perfume Genius, Can't Help Falling In Love
Daniel Champagne, Home to Me
Holly Throsby, What Do You Say? (feat. Mark Kozelek)
Ziggy Alberts, Hands I Can Hold
Ziggy Alberts, Simple Things
Jason Reeves, More in Love With You (feat. Nelly Joy)
Hearts & Colors, Say You Will
Branches, I Believe in a Thing Called Love
Beth, The One - Piano Version
Bely Basarte, (I Can't Help) Falling In Love With You - Can't Help Falling In Love
Beck, Can't Help Falling in Love
Rod Stewart, Have I Told You Lately - 2008 Remastered Version
Jada Facer, Perfect - Acoustic
This Wild Life, No More Bad Days
George Harrison, If Not For You
Matt Walters, I Would Die for You
Elliott Park, I Loved Her First
