Starset, My Demons
Billy Talent, Red Flag
Gorky Park, Bang
Billy Talent, Rusted From The Rain
Billy Talent, Fallen Leaves
Shinedown, Sound Of Madness
Danko Jones, Had Enough
Red Hot Chili Peppers, Can't Stop
Rise Against, Prayer Of The Refugee
Foo Fighters, All My Life
Drowning Pool, Bodies
Ozzy Osbourne, I Don't Wanna Stop
Hollywood Undead, Undead
CKY, 96 Quite Bitter Beings
Airbourne, Cheap Wine & Cheaper Women
Metallica, St. Anger
Nickelback, Burn It To The Ground
Nickelback, Animals
Mustasch, Double Nature
Smash Into Pieces, Stronger
P.O.D., Boom
Breaking Benjamin, The Diary of Jane
Pearl Jam, Even Flow
Danko Jones, The Twisting Knife
Danko Jones, Do You Wanna Rock
Adelitas Way, Bad Reputation
Adelitas Way, Invincible
Adelitas Way, Sick
Airbourne, Runnin' Wild
Avenged Sevenfold, This Means War
Pop Evil, Footsteps
Pop Evil, Take It All
Pop Evil, Trenches
Shinedown, Cut The Cord
Killswitch Engage, Holy Diver
Downplay, Won't Let Go
Five Finger Death Punch, My Nemesis
Saliva, Go Big Or Go Home
Nordic Union, When Death Is Calling
Deuce, America
Charm City Devils, Unstoppable
Billy Talent, Louder Than the DJ
Limp Bizkit, Rollin' (Air Raid Vehicle)
Linkin Park, In The End
Audioslave, Show Me How to Live
Nirvana, Smells Like Teen Spirit
The Used, Burning Down The House
Hoobastank, Out Of Control
Static-X, The Only
Static-X, Push It
Pain, Shut Your Mouth
Linkin Park, Bleed It Out
Marilyn Manson, The Fight Song
Guano Apes, Open Your Eyes
Sum 41, Still Waiting
Dorothy, Wicked Ones
Nickelback, Dirty Laundry
Art Of Dying, All or Nothing
Skillet, Burn it Down
Monster Truck, Why Are You Not Rocking?
One Bad Son, Psycho Killer - Radio Edit
Rob Zombie, Dragula
Skillet, Feel Invincible
Prophets Of Rage, Prophets Of Rage
Nomy, Cocaine
Rammstein, PUSSY
12 Stones, We Are One
Limp Bizkit, Break Stuff
Rammstein, Sonne
System Of A Down, Chop Suey!
Sixx:A.M., We Will Not Go Quietly
Thousand Foot Krutch, Push
Through Fire, Stronger - Radio Edit
Nordic Union, Hypocrisy
Mustasch, Midnight Runner
Rammstein, Ich will
Mustasch, Black City
The Company Band, Zombie Barricades
Scorpions, Rock You Like a Hurricane
Rage Against The Machine, Guerilla Radio
Spiderbait, Black Betty - Edit
Ashes Remain, End Of Me
Stone Sour, Absolute Zero
Billy Talent, Afraid of Heights
Pennywise, Fuck Authority
Bad Religion, 21st Century
Escape the Fate, One For the Money
Three Days Grace, You Don't Get Me High Anymore
3 Doors Down, Still Alive
Theory of a Deadman, Savages (feat. Alice Cooper)
Art Of Dying, Tear Down the Wall
Chevelle, Face to the Floor
From Ashes to New, My Fight
Airbourne, Get Back Up
Airbourne, Back In The Game
From Ashes to New, Stay This Way
H-Blockx, The Power - Extended Version
Clawfinger, Biggest & The Best - Remastered version
Hail The Villain, Runaway
Shotgun Revolution, City of Fire
Blue Stahli, ULTRAnumb
Soil, Breaking Me Down
Soil, Halo
Hollywood Undead, Tendencies
Nickelback, Must Be Nice
Papa Roach, Last Resort
Papa Roach, Getting Away With Murder
Puddle Of Mudd, Control
Nickelback, Feed The Machine
Seether, Let You Down
Papercut Massacre, Lose My Life
Blacklite District, With Me Now
Emphatic, Get Paid
Dope, You Spin Me Round (Like A Record)
Adelitas Way, Notorious
Dope, I'm Back
Saliva, Lose Yourself
Hollywood Undead, Renegade
Hollywood Undead, California Dreaming
Seether, Let You Down
Five Finger Death Punch, I Apologize
Five Finger Death Punch, Mama Said Knock You Out (feat. Tech N9ne)
